,epochINX,event,eventChar,result,resultChar,winLEN,blockINX,subject,ISI,paradigm
202,21,1,1,19,I,1.0,6,Toto,0.5,ssvep
203,22,23,S,23,S,1.0,6,Toto,0.5,ssvep
204,23,16,T,34,X,1.0,6,Toto,0.5,ssvep
205,24,40,",",40,",",1.0,6,Toto,0.5,ssvep
206,25,43, ,43, ,1.0,6,Toto,0.5,ssvep
207,26,37,B,37,B,1.0,6,Toto,0.5,ssvep
208,27,18,U,18,U,1.0,6,Toto,0.5,ssvep
209,28,17,Y,17,Y,1.0,6,Toto,0.5,ssvep
210,29,43, ,43, ,1.0,6,Toto,0.5,ssvep
211,30,9,9,26,G,1.0,6,Toto,0.5,ssvep
212,31,11,←,11,←,1.0,6,Toto,0.5,ssvep
213,32,8,8,8,8,1.0,6,Toto,0.5,ssvep
214,33,43, ,43, ,1.0,6,Toto,0.5,ssvep
215,34,21,P,21,P,1.0,6,Toto,0.5,ssvep
216,35,30,L,30,L,1.0,6,Toto,0.5,ssvep
217,36,18,U,18,U,1.0,6,Toto,0.5,ssvep
218,37,39,M,39,M,1.0,6,Toto,0.5,ssvep
219,38,23,S,23,S,1.0,6,Toto,0.5,ssvep
220,39,32,⇧,32,⇧,1.0,6,Toto,0.5,ssvep
221,40,42,/,42,/,1.0,6,Toto,0.5,ssvep
222,41,31,↵,31,↵,1.0,6,Toto,0.5,ssvep
