,epochINX,result,resultChar,winLEN,subject,ISI,paradigm
215,3,8,→,0.4,Toto,0.5,ssvep
216,1,4,↑,0.4,Toto,0.5,ssvep
217,2,4,↑,0.4,Toto,0.5,ssvep
218,3,4,↑,0.4,Toto,0.5,ssvep
219,4,4,↑,0.4,Toto,0.5,ssvep
220,1,8,→,0.4,Toto,0.5,ssvep
221,1,10,Drag,0.4,Toto,0.5,ssvep
222,2,10,Drag,0.4,Toto,0.5,ssvep
223,1,11,R,0.4,Toto,0.5,ssvep
224,2,11,R,0.4,Toto,0.5,ssvep
225,3,11,R,0.4,Toto,0.5,ssvep
226,1,10,Drag,0.4,Toto,0.5,ssvep
227,2,10,Drag,0.4,Toto,0.5,ssvep
228,3,10,Drag,0.4,Toto,0.5,ssvep
229,4,10,Drag,0.4,Toto,0.5,ssvep
230,1,9,↘︎,0.4,Toto,0.5,ssvep
231,1,6,↓,0.4,Toto,0.5,ssvep
232,2,6,↓,0.4,Toto,0.5,ssvep
233,1,5,L,0.4,Toto,0.5,ssvep
234,2,5,L,0.4,Toto,0.5,ssvep
235,3,5,L,0.4,Toto,0.5,ssvep
236,1,1,↖︎,0.4,Toto,0.5,ssvep
237,2,1,↖︎,0.4,Toto,0.5,ssvep
238,3,1,↖︎,0.4,Toto,0.5,ssvep
239,4,1,↖︎,0.4,Toto,0.5,ssvep
240,1,5,L,0.4,Toto,0.5,ssvep
241,1,11,R,0.4,Toto,0.5,ssvep
242,2,11,R,0.4,Toto,0.5,ssvep
243,1,9,↘︎,0.4,Toto,0.5,ssvep
244,2,9,↘︎,0.4,Toto,0.5,ssvep
245,3,9,↘︎,0.4,Toto,0.5,ssvep
246,1,9,↘︎,0.4,Toto,0.5,ssvep
247,2,9,↘︎,0.4,Toto,0.5,ssvep
248,3,9,↘︎,0.4,Toto,0.5,ssvep
249,4,9,↘︎,0.4,Toto,0.5,ssvep
250,1,9,↘︎,0.4,Toto,0.5,ssvep
251,1,9,↘︎,0.4,Toto,0.5,ssvep
252,2,9,↘︎,0.4,Toto,0.5,ssvep
253,1,6,↓,0.4,Toto,0.5,ssvep
254,2,6,↓,0.4,Toto,0.5,ssvep
255,3,6,↓,0.4,Toto,0.5,ssvep
256,1,13,-,0.4,Toto,0.5,ssvep
257,2,13,-,0.4,Toto,0.5,ssvep
258,3,13,-,0.4,Toto,0.5,ssvep
259,4,13,-,0.4,Toto,0.5,ssvep
260,1,5,L,0.4,Toto,0.5,ssvep
261,1,12,+,0.4,Toto,0.5,ssvep
262,2,12,+,0.4,Toto,0.5,ssvep
263,1,6,↓,0.4,Toto,0.5,ssvep
264,2,6,↓,0.4,Toto,0.5,ssvep
265,3,6,↓,0.4,Toto,0.5,ssvep
266,1,12,+,0.4,Toto,0.5,ssvep
267,2,12,+,0.4,Toto,0.5,ssvep
268,3,12,+,0.4,Toto,0.5,ssvep
269,4,12,+,0.4,Toto,0.5,ssvep
270,1,10,Drag,0.4,Toto,0.5,ssvep
271,1,3,↙︎,0.4,Toto,0.5,ssvep
272,2,3,↙︎,0.4,Toto,0.5,ssvep
273,1,7,↗︎,0.4,Toto,0.5,ssvep
274,2,7,↗︎,0.4,Toto,0.5,ssvep
275,3,7,↗︎,0.4,Toto,0.5,ssvep
276,1,12,+,0.4,Toto,0.5,ssvep
277,2,12,+,0.4,Toto,0.5,ssvep
278,3,12,+,0.4,Toto,0.5,ssvep
279,4,12,+,0.4,Toto,0.5,ssvep
280,1,4,↑,0.4,Toto,0.5,ssvep
281,1,2,←,0.4,Toto,0.5,ssvep
282,2,2,←,0.4,Toto,0.5,ssvep
283,1,5,L,0.4,Toto,0.5,ssvep
284,2,5,L,0.4,Toto,0.5,ssvep
285,3,5,L,0.4,Toto,0.5,ssvep
286,1,7,↗︎,0.4,Toto,0.5,ssvep
287,2,7,↗︎,0.4,Toto,0.5,ssvep
288,3,7,↗︎,0.4,Toto,0.5,ssvep
289,4,7,↗︎,0.4,Toto,0.5,ssvep
290,1,1,↖︎,0.4,Toto,0.5,ssvep
291,1,1,↖︎,0.4,Toto,0.5,ssvep
292,2,1,↖︎,0.4,Toto,0.5,ssvep
293,1,9,↘︎,0.4,Toto,0.5,ssvep
294,2,9,↘︎,0.4,Toto,0.5,ssvep
295,3,9,↘︎,0.4,Toto,0.5,ssvep
296,1,8,→,0.4,Toto,0.5,ssvep
297,2,8,→,0.4,Toto,0.5,ssvep
298,3,8,→,0.4,Toto,0.5,ssvep
299,4,8,→,0.4,Toto,0.5,ssvep
300,1,6,↓,0.4,Toto,0.5,ssvep
301,1,8,→,0.4,Toto,0.5,ssvep
302,2,8,→,0.4,Toto,0.5,ssvep
303,1,1,↖︎,0.4,Toto,0.5,ssvep
304,2,1,↖︎,0.4,Toto,0.5,ssvep
305,3,1,↖︎,0.4,Toto,0.5,ssvep
